"Name" "RA" "Dec"
"N267" "00:48:00.07" "-73:16:59.52"
"N257" "00:48:06.07" "+08:19:00.12"
"N259" "00:48:06.07" "-02:46:59.88"
"N258" "00:48:12.07" "+27:37:59.88"
"N264" "00:48:18.07" "-38:13:59.88"
"NI52" "00:48:24.07" "+04:06:00.00"
"N269" "00:48:30.07" "-73:31:59.52"
"N260" "00:48:36.07" "+27:42:00.00"
"N262" "00:48:48.07" "+31:57:00.00"
"NI1587" "00:48:48.07" "-23:33:59.76"
"N263" "00:48:54.07" "-13:06:00.00"
"N266" "00:49:48.07" "+32:15:59.76"
"N268" "00:50:12.07" "-05:12:00.00"
"NI53" "00:50:30.07" "+10:37:00.12"
"N270" "00:50:42.07" "-08:39:00.00"
"N271" "00:50:48.07" "-01:52:59.88"
"N273" "00:50:48.07" "-06:52:59.88"
"NI54" "00:50:48.07" "-02:16:59.88"
"N274" "00:51:00.07" "-07:03:00.00"
"NI1588" "00:51:00.07" "-23:33:00.00"
"N275" "00:51:06.07" "-07:03:59.76"
"N290" "00:51:18.07" "-73:08:59.64"
"N272" "00:51:24.07" "+35:49:59.88"
"N277" "00:51:30.07" "-08:34:59.88"
"NI56" "00:51:30.07" "-12:51:00.00"
"NI1589" "00:51:30.07" "-34:27:59.76"
"NI55" "00:51:42.07" "+07:43:00.12"
"N276" "00:52:06.07" "-22:40:59.88"
"N278" "00:52:06.07" "+47:32:59.64"
"N294" "00:52:06.07" "-73:20:59.64"
"NI1591" "00:52:06.07" "-22:40:59.88"
"N279" "00:52:18.07" "-02:12:00.00"
"N280" "00:52:30.07" "+24:19:59.88"
"N289" "00:52:42.07" "-31:11:59.64"
"N281" "00:52:48.07" "+56:36:59.76"
"N282" "00:52:48.07" "+30:36:59.76"
"N288" "00:52:48.07" "-26:34:59.88"
"N292" "00:52:48.07" "-72:49:59.52"
"NI1590" "00:53:06.07" "+56:34:59.88"
